Year	TeamID	Team	AwardTitle	AwardType	AwardSubType	AwardDecision	AwardGroup	AwardIcon
2004	489	BU						
2004	490	Caltech						
2004	493	MIT						
2004	491	Princeton						
2004	492	UTAustin						
2005	475	Berkeley						
2005	476	Caltech						
2005	477	Cambridge						
2005	478	Davidson						
2005	487	ETHZ						
2005	479	Harvard						
2005	480	MIT						
2005	485	Oklahoma						
2005	488	Penn_State						
2005	481	Princeton						
2005	486	Registry_Example						
2005	483	Toronto						
2005	484	UCSF						
2005	482	UTAustin						
2006	470	Africa						
2006	438	Arizona						
2006	439	BU						
2006	452	Bangalore						
2006	435	Berkeley						
2006	441	Brown						
2006	459	Calgary						
2006	436	Caltech						
2006	440	Cambridge						
2006	442	Chiba						
2006	471	Chungbuk						
2006	443	ColdSpringHarbor						
2006	444	Davidson						
2006	433	Duke						
2006	445	ETHZ						
2006	446	Edinburgh						
2006	447	Freiburg						
2006	448	Harvard						
2006	472	IPN_UNAM_Mexico						
2006	449	Imperial						
2006	434	Instructors						
2006	460	Irvine						
2006	450	LatinAmerica						
2006	466	MIT						
2006	468	McGill						
2006	463	Michigan						
2006	451	Mississippi						
2006	453	Missouri						
2006	469	Oklahoma						
2006	454	PennState						
2006	455	PrairieView						
2006	456	Princeton						
2006	437	Purdue						
2006	457	Rice						
2006	462	Slovenia						
2006	458	Tokyo_Alliance						
2006	464	Toronto						
2006	473	Turkey						
2006	461	UCSF						
2006	467	UTAustin						
2006	465	Valencia						
2007	25	Alberta						
2007	26	Bangalore						
2007	56	Bay_Area_RSI						
2007	49	Berkeley_LBL						
2007	16	Berkeley_UC						
2007	63	Bologna						
2007	53	Boston_University						
2007	21	Brown						
2007	47	CSHL						
2007	37	Calgary						
2007	59	Caltech						
2007	46	Cambridge						
2007	55	Cape_Peninsula						
2007	29	Chiba						
2007	65	Colombia_Israel						
2007	15	Davidson_Missouri_W						
2007	58	Duke						
2007	68	Dundee						
2007	39	ETHZ						
2007	42	Edinburgh						
2007	57	Freiburg						
2007	23	Glasgow						
2007	31	Harvard						
2007	19	Imperial						
2007	52	Lethbridge						
2007	12	Ljubljana						
2007	24	McGill						
2007	50	Melbourne						
2007	62	Mexico						
2007	20	Michigan						
2007	36	Minnesota						
2007	40	Mississippi_State						
2007	64	Missouri_Miners						
2007	35	Naples						
2007	18	Paris						
2007	14	Peking						
2007	41	Penn_State						
2007	43	Prairie_View						
2007	45	Princeton						
2007	38	Purdue						
2007	44	Rice						
2007	60	Saint_Petersburg						
2007	48	Southern_Utah						
2007	61	Taipei						
2007	22	Tianjin						
2007	51	Tokyo_Tech						
2007	33	Toronto						
2007	13	Tsinghua						
2007	54	Turkey						
2007	66	UCSF						
2007	32	USTC						
2007	30	Valencia						
2007	11	Virginia						
2007	17	Virginia_Tech						
2007	27	Waterloo						
2007	67	Wisconsin						
2008	102	Alberta_NINT	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2008	135	BCCS-Bristol	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	80	Bay_Area_RSI						
2008	78	Beijing_Normal						
2008	79	Bologna	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	124	Brown	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	165	BrownTwo	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2008	88	CPU-NanJing	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	107	Calgary_Ethics	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	148	Calgary_Software	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2008	131	Calgary_Wetware	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2008	137	Caltech	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2008	90	Cambridge	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	84	Chiba	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2008	159	Colombia						
2008	91	Davidson-Missouri_Western	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2008	158	Duke						
2008	92	EPF-Lausanne	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	105	ESBS-Strasbourg	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2008	142	ETH_Zurich	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2008	118	Edinburgh	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2008	75	Example						
2008	157	Freiburg	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
